municipio,icms_25_por_cento,icms_liquido,ipi_25_por_cento,ipi_liquido,ipva_50_por_cento,ipva_liquido,mes_competencia,ano_competencia
MARCO,"405009,96","324007,97","1304,85","1043,88","84265,81","67412,65",Abril,2017
MARTINOPOLE,"418572,19","334857,75","1348,54","1078,83","13381,47","10705,18",Abril,2017
MASSAPE,"534386,39","427509,11","1721,67","1377,34","57561,17","46048,94",Abril,2017
MAURITI,"355506,91","284405,53","1145,36","916,29","95093,91","76075,13",Abril,2017
MERUOCA,"426487,34","341189,87","1374,04","1099,23","31678,92","25343,14",Abril,2017
MILAGRES,"212977,54","170382,03","686,16","548,93","58554,4","46843,52",Abril,2017
MILHA,"409888,87","327911,1","1320,57","1056,46","33081,42","26465,14",Abril,2017
MIRAIMA,"191897,32","153517,86","618,25","494,6","13556,09","10844,87",Abril,2017
MISSAO VELHA,"370458,24","296366,59","1193,53","954,82","92264,32","73811,46",Abril,2017
MOMBACA,"394520,26","315616,21","1271,05","1016,84","84828,05","67862,44",Abril,2017
MONSENHOR,"326707,12","261365,7","1052,57","842,06","38748,75",30999,Abril,2017
MORADA NOVA,"1136126,22","908900,98","3660,33","2928,26","178384,24","142707,39",Abril,2017
MORAUJO,"285879,3","228703,44","921,04","736,83","14107,75","11286,2",Abril,2017
MORRINHOS,"488647,37","390917,9","1574,31","1259,45","27851,3","22281,04",Abril,2017
MUCAMBO,"453712,6","362970,08","1461,76","1169,41","24586,42","19669,14",Abril,2017
MULUNGU,"231057,84","184846,27","744,41","595,53","19653,67","15722,94",Abril,2017
NOVA OLINDA,"550632,01","440505,61","1774,01","1419,21","34054,72","27243,78",Abril,2017
NOVA RUSSAS,"416229,49","332983,59","1340,99","1072,79","85189,11","68151,29",Abril,2017
NOVO ORIENTE,"501320,5","401056,4","1615,14","1292,11","59305,59","47444,47",Abril,2017
OCARA,"341690,65","273352,52","1100,85","880,68","43853,9","35083,12",Abril,2017
OROS,"199389,1","159511,28","642,38","513,9",61164,"48931,2",Abril,2017
GRANJA,"400376,97","320301,58","1289,92","1031,94","65745,93","52596,74",Abril,2017
PACAJUS,"1454426,25",1163541,"4685,82","3748,66","258026,35","206421,08",Abril,2017
PACATUBA,"2524827,99","2019862,39","8134,4","6507,52","189073,1","151258,48",Abril,2017
PACOTI,"221471,32","177177,06","713,53","570,82","26642,03","21313,62",Abril,2017
PACUJA,"385040,59","308032,47","1240,51","992,41","12374,45","9899,56",Abril,2017
PALHANO,"239481,05","191584,84","771,55","617,24","26192,82","20954,26",Abril,2017
PALMACIA,"237731,09","190184,87","765,91","612,73","17654,37","14123,5",Abril,2017
PARACURU,"1214931,09","971944,87","3914,22","3131,38","99573,5","79658,8",Abril,2017
PARAIPABA,"640285,44","512228,35","2062,85","1650,28","79568,88","63655,1",Abril,2017
PARAMBU,"277226,24","221780,99","893,16","714,53","56479,94","45183,95",Abril,2017
PARAMOTI,"221799,95","177439,96","714,59","571,67","16088,93","12871,14",Abril,2017
PEDRA BRANCA,"488046,57","390437,26","1572,37","1257,9","86019,45","68815,56",Abril,2017
PENAFORTE,"440370,11","352296,09","1418,77","1135,02","22537,18","18029,74",Abril,2017
PENTECOSTE,"605221,64","484177,31","1949,88","1559,9","73692,42","58953,94",Abril,2017
PEREIRO,"252932,4","202345,92","814,89","651,91","37354,8","29883,84",Abril,2017
PINDORETAMA,"391125,16","312900,13","1260,11","1008,09","62888,6","50310,88",Abril,2017
PIQUET CARNEIRO,"375589,17","300471,34","1210,06","968,05","22730,9","18184,72",Abril,2017
PIRES FERREIRA,"440095,94","352076,75","1417,89","1134,31","12965,71","10372,57",Abril,2017
PORANGA,"427717,15","342173,72",1378,"1102,4","23029,44","18423,55",Abril,2017
PORTEIRAS,"353793,26","283034,61","1139,84","911,87","32896,19","26316,95",Abril,2017
POTENGI,"253646,07","202916,86","817,19","653,75","17038,06","13630,45",Abril,2017
POTIRETAMA,"332279,57","265823,66","1070,53","856,42","8473,64","6778,91",Abril,2017
QUITERIANOPOLIS,"357906,06","286324,85","1153,09","922,47","37671,92","30137,54",Abril,2017
QUIXADA,"734551,67","587641,34","2366,55","1893,24","362671,66","290137,33",Abril,2017
QUIXELO,"224374,47","179499,58","722,88","578,3","36010,79","28808,63",Abril,2017
QUIXERAMOBIM,"890959,8","712767,84","2870,46","2296,37","201024,83","160819,86",Abril,2017
QUIXERE,"674498,46","539598,77","2173,08","1738,46","49710,44","39768,35",Abril,2017
REDENCAO,"284157,56","227326,05","915,49","732,39","73300,27","58640,22",Abril,2017
RERIUTABA,"479470,15","383576,12","1544,74","1235,79","36951,02","29560,82",Abril,2017
RUSSAS,"1196461,69","957169,35","3854,72","3083,78","306698,53","245358,82",Abril,2017
SABOEIRO,"297155,27","237724,22","957,36","765,89","23159,32","18527,46",Abril,2017
SALITRE,"255071,45","204057,16","821,78","657,42","11941,11","9552,89",Abril,2017
SANTA QUITERIA,"570286,86","456229,49","1837,33","1469,86","93328,84","74663,07",Abril,2017
SANTANA DO,"230749,39","184599,51","743,42","594,74","46798,45","37438,76",Abril,2017
SANTANA DO CARIRI,"381536,65","305229,32","1229,22","983,38","21086,79","16869,43",Abril,2017
SAO BENEDITO,"430799,76","344639,81","1387,94","1110,35","169887,88","135910,3",Abril,2017
SAO GONCALO DO,"4230015,26","3384012,21","13628,11","10902,49","182833,15","146266,52",Abril,2017
SAO JOAO DO,"325574,06","260459,25","1048,92","839,14","20922,14","16737,71",Abril,2017
SAO LUIS DO CURU,"258821,37","207057,1","833,86","667,09","21991,49","17593,19",Abril,2017
SENADOR POMPEU,"556184,32","444947,46","1791,9","1433,52","54497,05","43597,64",Abril,2017
SENADOR SA,"336186,75","268949,4","1083,11","866,49","9855,18","7884,14",Abril,2017
SOBRAL,"7442573,31","5954058,65","23978,22","19182,58","1234441,11","987552,89",Abril,2017
SOLONOPOLE,"346565,59","277252,47","1116,55","893,24","47345,76","37876,61",Abril,2017
TABULEIRO DO,"468504,62","374803,7","1509,41","1207,53","125751,5","100601,2",Abril,2017
TAMBORIL,"319422,99","255538,39","1029,11","823,29","43924,28","35139,42",Abril,2017
TARRAFAS,"271069,11","216855,29","873,32","698,66","15029,88","12023,9",Abril,2017
TAUA,"597689,54","478151,63","1925,62","1540,5","199360,09","159488,07",Abril,2017
TEJUCUOCA,"195744,04","156595,23","630,64","504,51","23852,14","19081,71",Abril,2017
TIANGUA,"997649,17","798119,34","3214,19","2571,35","405480,07","324384,06",Abril,2017
TRAIRI,"1090375,14","872300,11","3512,93","2810,34","98017,4","78413,92",Abril,2017
TURURU,"443051,52","354441,22","1427,41","1141,93","27148,66","21718,93",Abril,2017
UBAJARA,"563111,6","450489,28","1814,21","1451,37","109938,65","87950,92",Abril,2017
UMARI,"261246,72","208997,38","841,68","673,34","11195,25","8956,2",Abril,2017
UMIRIM,"263762,81","211010,25","849,78","679,82","22907,22","18325,78",Abril,2017
URUBURETAMA,"409326,4","327461,12","1318,75",1055,"26781,91","21425,53",Abril,2017
URUOCA,"444444,64","355555,71","1431,9","1145,52","18579,16","14863,33",Abril,2017
VARJOTA,"486834,91","389467,93","1568,47","1254,78","63957,96","51166,37",Abril,2017
VARZEA ALEGRE,"391268,3","313014,64","1260,57","1008,46","101972,09","81577,67",Abril,2017
VICOSA DO CEARA,"373232,39","298585,91","1202,47","961,98","114007,44","91205,95",Abril,2017
ABAIARA,"128979,57","103183,66","590,87","472,7","23519,3","18815,44",Abril,2018
ACARAPE,"418146,12","334516,9","1915,58","1532,46","33495,01","26796,01",Abril,2018
ACARAU,"1061098,54","848878,83","4861,03","3888,82","211355,06","169084,05",Abril,2018
ACOPIARA,"477140,24","381712,19","2185,84","1748,67","136055,55","108844,44",Abril,2018
AIUABA,"377392,76","301914,21","1728,89","1383,11","18351,77","14681,42",Abril,2018
ALCANTARAS,"358546,29","286837,03","1642,55","1314,04","33337,79","26670,23",Abril,2018
ALTANEIRA,"325659,59","260527,67","1491,89","1193,51","15431,9","12345,52",Abril,2018
ALTO SANTO,"334558,62","267646,9","1532,66","1226,13","40759,92","32607,94",Abril,2018
AMONTADA,"786575,61","629260,49","3603,41","2882,73","61852,79","49482,23",Abril,2018
ANTONINA DO,"478218,5","382574,8","2190,78","1752,62","18495,81","14796,65",Abril,2018
APUIARES,"378030,55","302424,44","1731,81","1385,45","23561,6","18849,28",Abril,2018
AQUIRAZ,4881898,"3905518,4","22364,61","17891,69","380498,55","304398,84",Abril,2018
ARACATI,"2404738,09","1923790,47","11016,42","8813,14","310519,97","248415,98",Abril,2018
ARACOIABA,"324936,94","259949,55","1488,58","1190,86","54769,4","43815,52",Abril,2018
ARARENDA,"524473,17","419578,54","2402,68","1922,14","21592,39","17273,91",Abril,2018
ARARIPE,"335987,89","268790,31","1539,2","1231,36","38833,67","31066,94",Abril,2018
ARATUBA,"266403,95","213123,16","1220,43","976,34","27531,97","22025,58",Abril,2018
ARNEIROZ,"315049,15","252039,32","1443,28","1154,62","16182,27","12945,82",Abril,2018
ASSARE,"331908,89","265527,11","1520,52","1216,42","56708,17","45366,54",Abril,2018
AURORA,"350883,84","280707,07","1607,44","1285,95","56771,89","45417,51",Abril,2018
BAIXIO,"388599,72","310879,78","1780,23","1424,18","14822,32","11857,86",Abril,2018
BANABUIU,"345263,15","276210,52","1581,7","1265,36","45550,05","36440,04",Abril,2018
BARBALHA,"1371233,62","1096986,9","6281,8","5025,44","297563,77","238051,02",Abril,2018
BARREIRA,"406562,92","325250,34","1862,52","1490,02","64654,75","51723,8",Abril,2018
BARRO,"305606,42","244485,14","1400,02","1120,02","39911,05","31928,84",Abril,2018
BARROQUINHA,"353368,4","282694,72","1618,83","1295,06","23543,76","18835,01",Abril,2018
BATURITE,"398652,7","318922,16","1826,28","1461,02","110968,95","88775,16",Abril,2018
BEBERIBE,"949788,52","759830,82","4351,1","3480,88","162435,57","129948,46",Abril,2018
BELA CRUZ,"316322,37","253057,9","1449,11","1159,29","88439,52","70751,62",Abril,2018
BOA VIAGEM,"364974,51","291979,61",1672,"1337,6","148396,07","118716,86",Abril,2018
BREJO SANTO,"888867,29","711093,83","4072,02","3257,62","286680,46","229344,37",Abril,2018
CAMOCIM,"1144039,04","915231,23","5240,99","4192,79","187241,2","149792,96",Abril,2018
CAMPOS SALES,"420433,37","336346,7","1926,06","1540,85","77062,51","61650,01",Abril,2018
CANINDE,"522564,5","418051,6","2393,94","1915,15","281486,92","225189,54",Abril,2018
CAPISTRANO,"363572,8","290858,24","1665,57","1332,46","38063,09","30450,47",Abril,2018
CARIDADE,"362533,54","290026,83","1660,81","1328,65","41683,66","33346,93",Abril,2018
CARIRE,"571700,64","457360,51","2619,03","2095,22","40251,75","32201,4",Abril,2018
CARIRIACU,"329454,12","263563,3","1509,27","1207,42","59121,36","47297,09",Abril,2018
CARIUS,"239131,04","191304,83","1095,49","876,39","46147,01","36917,61",Abril,2018
CARNAUBAL,"267314,71","213851,77","1224,6","979,68","37126,19","29700,95",Abril,2018
CASCAVEL,"1341535,81","1073228,65","6145,75","4916,6","264471,99","211577,59",Abril,2018
CATARINA,"250464,17","200371,34","1147,41","917,93","33455,6","26764,48",Abril,2018
CATUNDA,"305264,59","244211,67","1398,46","1118,77","15511,96","12409,57",Abril,2018
CAUCAIA,"7666435,41","6133148,33","35120,94","28096,75","1605424,92","1284339,94",Abril,2018
CEDRO,"373306,87","298645,5","1710,17","1368,14","63586,75","50869,4",Abril,2018
CHAVAL,"277376,87","221901,5","1270,7","1016,56","12583,06","10066,45",Abril,2018
CHORO,"302013,77","241611,02","1383,56","1106,85","22769,41","18215,53",Abril,2018
CHOROZINHO,"349849,16","279879,33","1602,7","1282,16","64005,87","51204,7",Abril,2018
COREAU,"324402,4","259521,92","1486,13","1188,9","49786,95","39829,56",Abril,2018
CRATEUS,"695027,45","556021,96","3184,01","2547,21","338174,54","270539,63",Abril,2018
CRATO,"1853811,01","1483048,81","8492,55","6794,04","776725,91","621380,73",Abril,2018
CROATA,"377814,89","302251,91","1730,82","1384,66","34268,6","27414,88",Abril,2018
CRUZ,"558387,65","446710,12","2558,05","2046,44","134204,49","107363,59",Abril,2018
DEPUTADO IRAPUAN,"418990,34","335192,27","1919,45","1535,56","17677,01","14141,61",Abril,2018
ERERE,"453723,81","362979,05","2078,57","1662,86","11717,91","9374,33",Abril,2018
EUSEBIO,"5573479,62","4458783,7","25532,83","20426,26","890129,91","712103,93",Abril,2018
FARIAS BRITO,"513550,75","410840,6","2352,64","1882,11","40565,95","32452,76",Abril,2018
FORQUILHA,"459066,89","367253,51","2103,05","1682,44","67242,36","53793,89",Abril,2018
FORTALEZA,"80357917,66","64286334,13","368130,06","294504,05","30448917,51","24359134,01",Abril,2018
FORTIM,"424292,11","339433,69","1943,74","1554,99","56931,27","45545,02",Abril,2018
FRECHEIRINHA,"746636,69","597309,35","3420,44","2736,35","44378,92","35503,14",Abril,2018
GENERAL SAMPAIO,"344086,22","275268,98","1576,3","1261,04","8106,22","6484,98",Abril,2018
GRACA,"366383,12","293106,5","1678,45","1342,76","22153,36","17722,69",Abril,2018
GRANJEIRO,"255733,81","204587,05","1171,55","937,24","7992,97","6394,38",Abril,2018
GROAIRAS,"434450,65","347560,52","1990,27","1592,22","37406,02","29924,82",Abril,2018
GUAIUBA,"346816,29","277453,03","1588,81","1271,05","48915,22","39132,18",Abril,2018
GUARACIABA,"505924,97","404739,98","2317,71","1854,17","210386,27","168309,02",Abril,2018
GUARAMIRANGA,"335083,97","268067,18","1535,06","1228,05","16824,77","13459,82",Abril,2018
HIDROLANDIA,"328506,67","262805,34","1504,93","1203,94","37624,69","30099,75",Abril,2018
HORIZONTE,"3225423,15","2580338,52","14776,08","11820,86","290057,37","232045,9",Abril,2018
IBARETAMA,"183367,06","146693,65","840,03","672,02","22005,99","17604,79",Abril,2018
IBIAPINA,"300183,05","240146,44","1375,18","1100,14","71085,91","56868,73",Abril,2018
IBICUITINGA,"211452,06","169161,65","968,69","774,95","28228,95","22583,16",Abril,2018
ICAPUI,"1106752,21","885401,77","5070,18","4056,14","58041,24","46432,99",Abril,2018
ICO,"484559,54","387647,63","2219,83","1775,86","207878,35","166302,68",Abril,2018
IGUATU,"1482995,57","1186396,46","6793,8","5435,04","634655,57","507724,46",Abril,2018
INDEPENDENCIA,"438203,86","350563,09","2007,47","1605,98","83168,07","66534,46",Abril,2018
IPAPORANGA,"504149,31","403319,45","2309,57","1847,66","19675,16","15740,13",Abril,2018
IPAUMIRIM,"212711,57","170169,26","974,46","779,57","55206,17","44164,94",Abril,2018
IPU,"547199,09","437759,27","2506,79","2005,43","129723,22","103778,58",Abril,2018
IPUEIRAS,"463058,72","370446,98","2121,33","1697,06","66712,67","53370,14",Abril,2018
IRACEMA,"366059,65","292847,72","1676,97","1341,58","43357,89","34686,31",Abril,2018
IRAUCUBA,"401465,31","321172,25","1839,16","1471,33","37823,59","30258,87",Abril,2018
ITAICABA,"410735,99","328588,79","1881,63","1505,3","21589,51","17271,61",Abril,2018
ITAITINGA,"620823,05","496658,44","2844,07","2275,26","195458,87","156367,1",Abril,2018
ITAPAGE,"633392,7","506714,16","2901,65","2321,32","127184,41","101747,53",Abril,2018
ITAPIPOCA,"1282332,89","1025866,31","5874,53","4699,62","413770,17","331016,14",Abril,2018
ITAPIUNA,"261808,74","209446,99","1199,38","959,5","30540,25","24432,2",Abril,2018
ITAREMA,"715647,27","572517,82","3278,47","2622,78","118270,41","94616,33",Abril,2018
ITATIRA,"413548,64","330838,91","1894,52","1515,62","37388,47","29910,78",Abril,2018
JAGUARETAMA,"311986,46","249589,17","1429,25","1143,4","35980,77","28784,62",Abril,2018
JAGUARIBARA,"342556,06","274044,85","1569,29","1255,43","40996,74","32797,39",Abril,2018
JAGUARIBE,"618840,91","495072,73","2834,99","2267,99","162570,84","130056,67",Abril,2018
JAGUARUANA,"636886,7","509509,36","2917,66","2334,13","104655,51","83724,41",Abril,2018
JARDIM,"264690,19","211752,15","1212,58","970,06","69414,07","55531,26",Abril,2018
JATI,"445703,46","356562,77","2041,83","1633,46","27412,11","21929,69",Abril,2018
JIJOCA DE,"705536,94","564429,55","3232,16","2585,73","137591,66","110073,33",Abril,2018
JUAZEIRO DO NORTE,"4369478,27","3495582,62","20017,15","16013,72","1951736,04","1561388,83",Abril,2018
JUCAS,"462450,77","369960,62","2118,55","1694,84","63295,22","50636,18",Abril,2018
LAVRAS DA,"278794,66","223035,73","1277,19","1021,75","68024,17","54419,34",Abril,2018
LIMOEIRO DO NORTE,"1077391,62","861913,3","4935,67","3948,54","321009,5","256807,6",Abril,2018
MADALENA,"216951,16","173560,93","993,88","795,1","30096,32","24077,06",Abril,2018
MARACANAU,"17294096,4","13835277,12","79226,5","63381,2","1279513,64","1023610,91",Abril,2018
MARANGUAPE,"2001953,62","1601562,9","9171,21","7336,97","405882,85","324706,28",Abril,2018
MARCO,"487037,24","389629,79","2231,18","1784,94","88451,66","70761,33",Abril,2018
MARTINOPOLE,"268060,31","214448,25","1228,02","982,42","21282,41","17025,93",Abril,2018
MASSAPE,"435898,25","348718,6","1996,91","1597,53","72345,19","57876,15",Abril,2018
MAURITI,"460810,46","368648,37","2111,03","1688,82","109926,61","87941,29",Abril,2018
MERUOCA,"443962,21","355169,77","2033,85","1627,08","37052,27","29641,82",Abril,2018
MILAGRES,"349440,79","279552,63","1600,83","1280,66","69856,35","55885,08",Abril,2018
MILHA,"500003,77","400003,02","2290,58","1832,46","40092,37","32073,9",Abril,2018
MIRAIMA,"207283,6","165826,88","949,59","759,67","16805,81","13444,65",Abril,2018
MISSAO VELHA,"411571,06","329256,85","1885,46","1508,37","113270,12","90616,1",Abril,2018
MOMBACA,"416191,47","332953,18","1906,63","1525,3","96957,96","77566,37",Abril,2018
MONSENHOR,"381903,04","305522,43","1749,55","1399,64","44267,24","35413,79",Abril,2018
MORADA NOVA,"1406680,56","1125344,45","6444,19","5155,35","202920,87","162336,7",Abril,2018
MORAUJO,"319008,86","255207,09","1461,42","1169,14","15224,52","12179,62",Abril,2018
MORRINHOS,"440543,91","352435,13","2018,19","1614,55","35918,91","28735,13",Abril,2018
MUCAMBO,"309768,02","247814,42","1419,09","1135,27","34040,99","27232,79",Abril,2018
MULUNGU,"262942,07","210353,66","1204,57","963,66","25092,87","20074,3",Abril,2018
NOVA OLINDA,"356483,85","285187,08","1633,1","1306,48","39466,24","31572,99",Abril,2018
NOVA RUSSAS,"403608,04","322886,43","1848,98","1479,18","108216,37","86573,1",Abril,2018
NOVO ORIENTE,"469051,06","375240,85","2148,78","1719,02","70802,16","56641,73",Abril,2018
OCARA,"387500,8","310000,64","1775,19","1420,15","54363,8","43491,04",Abril,2018
OROS,"289194,01","231355,21","1324,84","1059,87","74177,74","59342,19",Abril,2018
GRANJA,"533411,22","426728,98","2443,63","1954,9","84647,96","67718,37",Abril,2018
PACAJUS,"1599577,55","1279662,04","7327,87","5862,3","295139,14","236111,31",Abril,2018
PACATUBA,2780619,"2224495,2","12738,38","10190,7","223727,67","178982,14",Abril,2018
PACOTI,"311956,64","249565,31","1429,11","1143,29","34780,62","27824,5",Abril,2018
PACUJA,"400180,59","320144,47","1833,28","1466,62","15172,17","12137,74",Abril,2018
PALHANO,"302036,72","241629,38","1383,67","1106,94","28319,72","22655,78",Abril,2018
PALMACIA,"320594,14","256475,31","1468,68","1174,94","19315,55","15452,44",Abril,2018
PARACURU,"1380180,82","1104144,66","6322,79","5058,23","113642,97","90914,38",Abril,2018
PARAIPABA,"615934,19","492747,35","2821,67","2257,34","96744,02","77395,22",Abril,2018
PARAMBU,"376229,62","300983,7","1723,56","1378,85","78413,49","62730,79",Abril,2018
PARAMOTI,"261698,62","209358,9","1198,88","959,1","19274,36","15419,49",Abril,2018
PEDRA BRANCA,"479861,11","383888,89","2198,31","1758,65","114906,19","91924,95",Abril,2018
PENAFORTE,"380086,1","304068,88","1741,22","1392,98","22779,72","18223,78",Abril,2018
PENTECOSTE,"552989,54","442391,63","2533,32","2026,66","88989,11","71191,29",Abril,2018
PEREIRO,"345804,59","276643,67","1584,18","1267,34","60665,8","48532,64",Abril,2018
PINDORETAMA,"509593,34","407674,67","2334,51","1867,61","79133,15","63306,52",Abril,2018
PIQUET CARNEIRO,"415113,21","332090,57","1901,69","1521,35","27017,66","21614,13",Abril,2018
PIRES FERREIRA,"428655,6","342924,48","1963,73","1570,98","16419,87","13135,9",Abril,2018
PORANGA,"377631,36","302105,09","1729,98","1383,98","24788,39","19830,71",Abril,2018
PORTEIRAS,"468828,55","375062,84","2147,76","1718,21","48663,94","38931,15",Abril,2018
POTENGI,"230009,49","184007,59","1053,7","842,96","19029,22","15223,38",Abril,2018
POTIRETAMA,"444652,76","355722,21","2037,01","1629,61","14493,55","11594,84",Abril,2018
QUITERIANOPOLIS,"532140,29","425712,23","2437,8","1950,24","43268,87","34615,1",Abril,2018
QUIXADA,"882319,79","705855,83","4042,02","3233,62","418019,71","334415,77",Abril,2018
QUIXELO,"240613,06","192490,45","1102,28","881,82","44249,91","35399,93",Abril,2018
QUIXERAMOBIM,"1103260,5","882608,4","5054,18","4043,34","229405,52","183524,42",Abril,2018
QUIXERE,"903228,71","722582,97","4137,81","3310,25","61164,07","48931,26",Abril,2018
REDENCAO,"356552,67","285242,14","1633,41","1306,73","86431,35","69145,08",Abril,2018
RERIUTABA,"455036,07","364028,86","2084,58","1667,66","46426,1","37140,88",Abril,2018
RUSSAS,"1363266,02","1090612,82","6245,3","4996,24","398811,31","319049,05",Abril,2018
SABOEIRO,"423193,24","338554,59","1938,7","1550,96","23984,75","19187,8",Abril,2018
SALITRE,"345529,27","276423,42","1582,91","1266,33","16779,47","13423,58",Abril,2018
SANTA QUITERIA,"664200,89","531360,71","3042,79","2434,23","98646,95","78917,56",Abril,2018
SANTANA DO,"338571,1","270856,88","1551,04","1240,83","59280,31","47424,25",Abril,2018
SANTANA DO CARIRI,"323342,51","258674,01","1481,27","1185,02","32347,05","25877,64",Abril,2018
SAO BENEDITO,"595617,19","476493,75","2728,6","2182,88","178932,79","143146,23",Abril,2018
SAO GONCALO DO,"4949146,5","3959317,2","22672,68","18138,14","210130,02","168104,02",Abril,2018
SAO JOAO DO,"354864,16","283891,33","1625,68","1300,54","24476,3","19581,04",Abril,2018
SAO LUIS DO CURU,"316694,06","253355,25","1450,82","1160,66","30248,6","24198,88",Abril,2018
SENADOR POMPEU,"436382,31","349105,85","1999,12","1599,3","68267,02","54613,62",Abril,2018
SENADOR SA,"342503,29","274002,63","1569,05","1255,24","11009,27","8807,42",Abril,2018
SOBRAL,"7900682,22","6320545,78","36194,05","28955,24","1439072,87","1151258,3",Abril,2018
SOLONOPOLE,"392107,45","313685,96","1796,3","1437,04","50980,85","40784,68",Abril,2018
TABULEIRO DO,"576463,29","461170,63","2640,85","2112,68","138226,44","110581,15",Abril,2018
TAMBORIL,"455591,24","364472,99","2087,12","1669,7","57067,76","45654,21",Abril,2018
TARRAFAS,"367307,66","293846,13","1682,68","1346,14","17050,44","13640,35",Abril,2018
TAUA,"608767,27","487013,82","2788,84","2231,07","233127,99","186502,39",Abril,2018
TEJUCUOCA,"228059,46","182447,57","1044,77","835,82","21278,17","17022,54",Abril,2018
TIANGUA,"1074691,4","859753,12","4923,3","3938,64","459815,42","367852,34",Abril,2018
TRAIRI,"1420489,09","1136391,27","6507,45","5205,96","112385,64","89908,51",Abril,2018
TURURU,281995,225596,"1291,86","1033,49","25255,15","20204,12",Abril,2018
UBAJARA,"686867,15","549493,72","3146,63","2517,3","122409,29","97927,43",Abril,2018
UMARI,"255605,35","204484,28","1170,96","936,77","10621,8","8497,44",Abril,2018
UMIRIM,"271758,5","217406,8","1244,96","995,97","25968,02","20774,42",Abril,2018
URUBURETAMA,"460819,65","368655,72","2111,07","1688,86","34658,54","27726,83",Abril,2018
URUOCA,"517498,97","413999,18","2370,73","1896,58","30263,49","24210,79",Abril,2018
VARJOTA,"502231,4","401785,12","2300,79","1840,63","82466,27","65973,02",Abril,2018
VARZEA ALEGRE,"494188,11","395350,49","2263,94","1811,15","153576,61","122861,29",Abril,2018
VICOSA DO CEARA,"467000,1","373600,08","2139,39","1711,51","127612,82","102090,26",Abril,2018
ABAIARA,"358097,3","286477,84","1537,77","1230,22","21496,26","17197,01",Abril,2019
ACARAPE,"495487,9","396390,32","2127,76","1702,21","41022,37","32817,9",Abril,2019
ACARAU,"1200240,04","960192,03","5154,17","4123,34","231132,82","184906,26",Abril,2019
ACOPIARA,"510738,05","408590,44","2193,25","1754,6","155147,87","124118,3",Abril,2019
AIUABA,"274671,21","219736,97","1179,52","943,62","25197,91","20158,33",Abril,2019
ALCANTARAS,"456641,6","365313,28","1960,95","1568,76","31538,61","25230,89",Abril,2019
ALTANEIRA,"573170,77","458536,62","2461,36","1969,09","16129,6","12903,68",Abril,2019
ALTO SANTO,"293489,49","234791,59","1260,33","1008,26","43080,04","34464,03",Abril,2019
AMONTADA,"794082,8","635266,24","3410,01","2728,01","79420,92","63536,74",Abril,2019
ANTONINA DO,"372223,26","297778,61","1598,43","1278,74","22491,32","17993,06",Abril,2019
APUIARES,"243916,75","195133,4","1047,45","837,96","29864,17","23891,34",Abril,2019
AQUIRAZ,"5279721,87","4223777,5","22672,61","18138,09","437057,79","349646,23",Abril,2019
ARACATI,"2147447,51","1717958,01","9221,74","7377,39","342202,51","273762,01",Abril,2019
ARACOIABA,"435176,54","348141,23","1868,77","1495,02","62825,89","50260,71",Abril,2019
ARARENDA,"514953,84","411963,07","2211,36","1769,09","22722,37","18177,9",Abril,2019
ARARIPE,"342346,15","273876,92","1470,13","1176,1","46891,76","37513,41",Abril,2019
ARATUBA,"330490,64","264392,51","1419,22","1135,38","34230,66","27384,53",Abril,2019
ARNEIROZ,"219487,19","175589,75","942,54","754,03","18838,94","15071,15",Abril,2019
ASSARE,"341126,64","272901,31","1464,89","1171,91","60556,47","48445,18",Abril,2019
AURORA,"279258,46","223406,77","1199,21","959,37","66526,66","53221,33",Abril,2019
BAIXIO,"381300,04","305040,03","1637,41","1309,93","19851,95","15881,56",Abril,2019
BANABUIU,"364260,9","291408,72","1564,24","1251,39","45879,44","36703,55",Abril,2019
BARBALHA,"1483496,82","1186797,46","6370,55","5096,44","329369,21","263495,37",Abril,2019
BARREIRA,"392512,79","314010,23","1685,56","1348,45","69986,12","55988,9",Abril,2019
BARRO,"313048,31","250438,65","1344,32","1075,46","50685,92","40548,74",Abril,2019
BARROQUINHA,"471647,35","377317,88","2025,39","1620,31","22205,27","17764,22",Abril,2019
BATURITE,"415952,55","332762,04","1786,22","1428,98","137030,52","109624,42",Abril,2019
BEBERIBE,"1012179,37","809743,5","4346,58","3477,26","179185,46","143348,37",Abril,2019
BELA CRUZ,"383663,31","306930,65","1647,56","1318,05","98556,32","78845,06",Abril,2019
BOA VIAGEM,"389778,02","311822,42","1673,82","1339,06","165041,29","132033,03",Abril,2019
BREJO SANTO,"788261,35","630609,08","3385,02","2708,02","310421,11","248336,89",Abril,2019
CAMOCIM,"1110457,27","888365,82","4768,61","3814,89","214334,72","171467,78",Abril,2019
CAMPOS SALES,"454011,92","363209,54","1949,65","1559,72","96025,02","76820,02",Abril,2019
CANINDE,"633225,55","506580,44","2719,25","2175,4","323375,69","258700,55",Abril,2019
CAPISTRANO,"433578,21","346862,57","1861,91","1489,53","43025,76","34420,61",Abril,2019
CARIDADE,"491980,87","393584,7","2112,7","1690,16","43647,76","34918,21",Abril,2019
CARIRE,"507719,81","406175,85","2180,29","1744,23","43986,55","35189,24",Abril,2019
CARIRIACU,"304477,42","243581,94","1307,51","1046,01","67938,19","54350,55",Abril,2019
CARIUS,"310061,82","248049,46","1331,49","1065,19","45910,4","36728,32",Abril,2019
